freq,pk-pk (mv),uncert pk,phase,uncert phase
20,41,4,132,30
19,58,4,120,10
18.5,85,4,111,2
18,200,4,73,2
17.9,238,4,47,2
17.88,240,4,40,2
17.86,242,5,34,3
17.85,242,5,31,3
17.84,240,5,27,3
17.83,240,5,25,3
17.82,242,6,21,3
17.81,234,6,18,3
17.8,226,6,14,3
17.7,184,6,-8,4
17.6,138,8,-24,5
17.5,112,8,-33,5
17.4,92,8,-40,5
17.2,71,4,-50,10
17,56,4,-55,20
16.5,40,6,-72,30
16,32,6,-85,50
15,25,6,-150,50
