0,-0.508
0.002,-0.508
0.004,-0.508
0.006,-0.508
0.008,-0.508
0.01,-0.508
0.012,-0.508
0.014,-0.508
0.016,-0.508
0.018,-0.508
0.02,-0.508
0.022,-0.508
0.024,-0.508
0.026,-0.508
0.028,-0.508
0.03,-0.508
0.032,-0.508
0.034,-0.508
0.036,-0.508
0.038,-0.508
0.04,-0.508
0.042,-0.508
0.044,-0.508
0.046,-0.508
0.048,-0.508
0.05,-0.508
0.052,-0.508
0.054,-0.508
0.056,-0.508
0.058,-0.508
0.06,-0.508
0.062,-0.508
0.064,-0.508
0.066,-0.508
0.068,-0.508
0.07,-0.508
0.072,-0.508
0.074,-0.508
0.076,-0.508
0.078,-0.508
0.08,-0.508
0.082,-0.508
0.084,-0.508
0.086,-0.508
0.088,-0.508
0.09,-0.508
0.092,-0.508
0.094,-0.508
0.096,-0.508
0.098,-0.508
0.1,-0.508
0.102,-0.508
0.104,-0.508
0.106,-0.508
0.108,-0.508
0.11,-0.508
0.112,-0.508
0.114,-0.508
0.116,-0.508
0.118,-0.508
0.12,-0.508
0.122,-0.508
0.124,-0.508
0.126,-0.508
0.128,-0.508
0.13,-0.508
0.132,-0.508
0.134,-0.508
0.136,-0.508
0.138,-0.508
0.14,-0.508
0.142,-0.508
0.144,-0.508
0.146,-0.508
0.148,-0.508
0.15,-0.508
0.152,-0.508
0.154,-0.508
0.156,-0.508
0.158,-0.508
0.16,-0.508
0.162,-0.508
0.164,-0.508
0.166,-0.508
0.168,-0.508
0.17,-0.508
0.172,-0.508
0.174,-0.508
0.176,-0.508
0.178,-0.508
0.18,-0.508
0.182,-0.508
0.184,-0.508
0.186,-0.508
0.188,-0.508
0.19,-0.508
0.192,-0.508
0.194,-0.508
0.196,-0.508
0.198,-0.508
0.2,-0.508
0.202,-0.508
0.204,-0.508
0.206,-0.508
0.208,-0.132
0.21,-0.08
0.212,-0.024
0.214,0.028
0.216,0.08
0.218,0.128
0.22,0.168
0.222,0.2
0.224,0.224
0.226,0.236
0.228,0.236
0.23,0.224
0.232,0.2
0.234,0.168
0.236,0.128
0.238,0.076
0.24,0.028
0.242,-0.028
0.244,-0.08
0.246,-0.128
0.248,-0.168
0.25,-0.2
0.252,-0.224
0.254,-0.236
0.256,-0.236
0.258,-0.224
0.26,-0.2
0.262,-0.172
0.264,-0.128
0.266,-0.08
0.268,-0.032
0.27,0.024
0.272,0.072
