freq,pk-pk (mv),uncert pk,phase,uncert phase
20,42,15,140,50
19,60,10,130,40
18.5,90,15,117,10
18,290,15,98,10
17.9,500,10,68,4
17.88,550,10,60,2
17.86,585,10,46,2
17.85,600,10,38,2
17.84,605,10,31,2
17.83,595,10,24,2
17.82,572,10,14,2
17.81,550,10,8,2
17.8,525,10,2,2
17.7,268,10,-32,4
17.6,175,15,-43,3
17.5,125,15,-50,3
17.4,105,15,-53,3
17.2,74,15,-61,6
17,60,15,-67,6
16.5,40,10,-70,6
16,32,6,-150,30
15,28,6,-29,30
